response,predictor,n,intercept,slope,r_squared,adj_r_squared,p_value
pco1,gripopterygidae,40,-0.03780395531416821,0.021915336414010556,0.10397367588283202,0.08039403577448545,0.042433638143807254
pco1,oligochaeta,40,0.11913777642439556,-0.0010843028571048516,0.3231263825933078,0.30531391897734206,1.2993112509286498e-4
pco1,simulidae,40,0.020337539070499833,-0.0034765024052136485,0.015062079169236419,-0.010857339799994259,0.4505829276461015
pco1,chironominae,40,0.1133042036432763,-0.0027252965398262483,0.2764618146720537,0.2574213361107919,4.933834811983645e-4
pco2,gripopterygidae,40,-0.016496096418725723,0.009562954445638146,0.03395717130792975,0.008534991605506748,0.255003568897542
pco2,oligochaeta,40,-0.03292349412110152,2.9964499768920686e-4,0.04232583115565331,0.01712387934395998,0.2028117757240389
pco2,simulidae,40,-0.05626710055669329,0.009618307787468954,0.19775042037385687,0.17663858933106358,0.004040916051541749
pco2,chironominae,40,0.06515133463239203,-0.0015670796063112914,0.15678696711673823,0.13459715046191545,0.011432202119585328
pco3,gripopterygidae,40,-0.002984353433325893,0.0017300599613482548,0.001175362194728888,-0.025109496694883493,0.8336565579998946
pco3,oligochaeta,40,-0.08758794517652337,7.971599105940679e-4,0.31679944056662157,0.29882047847626947,1.5639906789780277e-4
pco3,simulidae,40,-0.02673944875811443,0.004570845941557998,0.04722971416989026,0.02215681191120311,0.1779618250595164
pco3,chironominae,40,0.010629711564673981,-2.556755637925227e-4,0.0044137564101772745,-0.02178588157902861,0.6837836227972864
pco4,gripopterygidae,40,-0.03661863509285897,0.021228194256729838,0.21138541787572404,0.19063240255666414,0.0028383899493273686
pco4,oligochaeta,40,0.009849225827641592,-8.964028057011688e-5,0.004785192710790884,-0.02140467063892526,0.671465742963528
pco4,simulidae,40,-0.022564245121321398,0.0038571359181745987,0.0401745986713897,0.014916035478531486,0.21493776509467963
pco4,chironominae,40,-4.3612458617582205e-4,1.0490068218300013e-5,8.875361544058754e-6,-0.0263066805499943,0.9854439047513108
